F2_20211214,F1_20211213,F4_20211213,F3_20211213,F4_20211214,F5_20211213,F3_20211214,F1_20211214,F2_20211213,F5_20211214,F6_20211214,F6_20211213
1560188.001360073,4424502.541747547,954625.1345333984,3900642.3868151233,3223870.3350103903,3822104.219566663,2525471.847888784,2900910.2018734897,0.0,3721852.452453311,2868196.138283157,1299086.090460222
1423040.6775687577,0.0,0.0,0.0,1728347.469516114,0.0,885406.1522043194,659914.5518557382,0.0,1734186.8094104722,4194762.251803962,5913459.164415237
2702722.17338783,0.0,0.0,0.0,2448178.9674141854,0.0,2926896.4694549195,2906791.977627416,0.0,2228512.0168848005,1551294.747110281,0.0
924205.9764692948,0.0,0.0,0.0,0.0,0.0,685272.3032720697,0.0,0.0,0.0,0.0,0.0
895835.4560564865,0.0,0.0,0.0,0.0,0.0,390978.7874618356,0.0,0.0,0.0,0.0,0.0
1624573.2421091376,1274516.6302353125,1060621.1143899066,734761.980049989,1716333.586002166,710618.7748536395,1869207.73584016,1818923.62760549,317143.5200766692,1794017.9895311894,1668274.786886027,1110532.331512328
5947300.387195832,0.0,0.0,0.0,4037212.544724639,0.0,6381672.171714738,6142820.040784886,0.0,4158608.075264961,5741461.5191940935,0.0
5616014.314286132,0.0,0.0,0.0,6320604.349233444,0.0,5045408.486312842,4032743.870379173,0.0,6341263.294748914,3706121.294579897,0.0
1614326.4654531695,2390554.4963168097,3358272.545192187,3015765.520177025,664895.2867369355,2874039.5172657515,1726167.102534682,753392.1283829892,2578972.5016733957,1536903.2242592876,773684.0431799352,2656910.598808808
3809408.8046149896,0.0,0.0,0.0,4356053.546888243,0.0,4358166.993531181,4587871.085215468,0.0,959823.0521543568,3608304.7292183912,0.0
556448.0795104727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419216.75171336473,0.0,0.0,0.0
4893035.83831072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2093898.5743433656,0.0,0.0,617474.9696314107,2337079.5565235927,1488095.5382690246,1683031.614732106,3599059.8885230864,2577763.1369046043,2568485.417978163,4355291.458664658,2513331.3542945413
4468455.451912756,3529752.1526459325,5879498.752654266,5656994.662893429,2043884.419064988,5309646.097060299,3752629.064346007,0.0,5302603.535904892,2901530.262634318,1587740.3328448292,5841176.064099876
3422167.150422407,4112319.905874324,2050923.828584895,2611960.038513327,2034898.9689611872,2163896.1335183685,2316823.955917788,2297575.0050974265,2715608.205742616,1836211.5449550275,0.0,1218505.4076087624
1058760.723517151,0.0,0.0,0.0,1057505.002686562,0.0,1055735.8357131972,1087424.6247367635,0.0,0.0,1045510.9023597664,0.0
3568765.8466946427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3441358.457934401,0.0,3641560.594607687,421888.9816430468,0.0,0.0,0.0,0.0,4481742.493994523,0.0,0.0,3051029.862720298
3165961.374238404,0.0,0.0,1373611.253463752,0.0,0.0,0.0,2104149.3264243747,0.0,0.0,0.0,0.0
1217901.1534733144,364169.29344725946,763860.1506788195,634745.3319033036,1374073.9081897093,483433.5529852124,1165326.3658761217,966315.854692857,946828.9732489744,1160463.6884023196,1100427.456711021,735462.897687264
601829.7551559475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548680.2738608669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007356.7952465848,0.0,0.0,0.0
