MR2011,MA2006,MR1904,MA2009,MA2010,MA2011,MR1803,MR1811
-0.005385136,-0.003459313,-0.005385136,-0.011023209,-0.010077713,0.010466605,0.005551792,-0.013719944
0.003587478,-0.007556923,0.003587478,0.015802891,-0.010077713,0.011256366,0.023153267,-0.02335852
0.006771308,-0.012548128,0.006771308,0.010778843,-0.010077713,0.010254027,-0.012619676,-0.002912903
0.002045875,-0.02402254,0.002045875,-0.001512275,-0.010077713,-0.003750034,0.000480841,0.003421048
-0.013562849,-0.02730731,-0.013562849,0.000574007,0.013099738,-0.018370247,-0.009396967,-0.018895282
-0.001770222,0.014505717,-0.001770222,0.005260546,0.004530692,-0.037459677,0.017473528,-0.028378006
0.000375101,-0.03453404,0.000375101,-0.004191125,-0.010911014,-0.046688043,-0.018046947,-0.011807708
-0.001413291,0.00119542,-0.001413291,-0.016199275,-0.003961928,0.0036345,-0.013184978,-0.003705754
-0.014134892,-0.020838256,-0.014134892,0.01013467,0.01054035,-0.024980824,-0.008322986,-0.012792652
-0.022922373,-0.010458839,-0.022922373,-0.033285045,-0.008676435,-0.004705295,-0.003460994,-0.017733298
-0.020777079,-0.000616038,-0.020777079,0.005590721,-0.005546611,-0.032096495,-0.013953025,-0.014258905
-0.012599857,0.005337291,-0.012599857,-0.014840838,-0.017739591,-0.028070465,-0.039426129,-0.010784492
0.001228094,0.010138845,0.001228094,-0.014840838,-0.005214324,-0.031379716,-0.004597099,-0.007310098
-0.007941745,0.006594487,-0.007941745,-0.014840838,0.001821438,-0.071092528,-0.004597099,-0.005997381
-0.006358245,0.003050153,-0.006358245,-0.014840838,0.003171842,0.005140579,-0.0159145,-0.00907089
-0.024645653,-0.000494176,-0.024645653,-0.014840838,-0.001054263,-0.015808486,-0.01096639,-0.007908926
-0.012388572,-0.002517036,-0.012388572,-0.014840838,-0.007160486,-0.010666731,0.022552765,0.001846126
-0.004761729,0.006479228,-0.004761729,-0.014840838,0.026077687,0.004223394,0.0109663,0.000923391
-0.00999522,0.016370661,-0.00999522,-0.014840838,-0.006111258,0.015820172,0.002263733,-0.021660235
-0.005337956,0.032743799,-0.005337956,-0.014840838,0.024756968,0.003588292,-0.007845019,-0.035771434
0.008263731,0.034041027,0.008263731,-0.014840838,0.007126259,-0.011338733,-0.021858974,-0.032698068
-0.01452208,-0.059465641,-0.01452208,-0.014840838,0.004428616,-0.033781679,-0.026526045,-0.031786967
0.004485162,-0.042643619,0.004485162,-0.013663538,0.015701652,0.018773694,-0.005239634,-0.03526134
0.014345171,0.007809482,0.014345171,-0.006076644,-0.012286035,-0.005714539,-0.002908184,-0.038735713
-0.001191378,-0.033925697,-0.001191378,0.000551603,-0.019775201,0.011746783,-0.036584173,-0.042210085
-0.014643507,-0.000979435,-0.014643507,-0.039008831,-0.018008064,-0.031369488,-0.026200426,-0.041623812
-0.011191863,-0.018782351,-0.011191863,-0.034155397,-0.016951227,0.006086763,-0.02158346,-0.032804312
0.01175559,0.032033231,0.01175559,-0.019777475,0.003078573,-0.000318114,-0.012118709,-0.032804312
0.003160644,-0.009533265,0.003160644,0.002389934,0.029499782,-0.006423263,-0.005820157,-0.032804312
-0.001959618,0.022089614,-0.001959618,0.025964109,0.014460048,-0.010362502,-0.033188394,-0.032804312
0.002563322,-0.00240609,0.002563322,-0.015655317,-0.01454451,-0.010479494,-0.025956888,-0.032804312
0.000657444,0.017165534,0.000657444,0.007653069,0.003337584,0.009822502,-0.008334666,-0.032804312
-0.019087699,0.030506296,-0.019087699,0.019881693,0.003277247,-0.021855127,0.021494276,-0.032804312
-0.024236218,-0.001190974,-0.024236218,-0.018411239,-0.020792514,-0.046335663,0.00103575,-0.032804312
-8.06e-06,-0.024279651,-8.06e-06,-0.007483954,0.00710115,-0.021612194,-0.014328164,-0.032804312
-0.003394943,0.00623103,-0.003394943,0.013826557,0.00508071,-0.021612194,0.004412754,-0.02398461
0.00220749,-0.018515161,0.00220749,0.002177651,-0.013384743,-0.021612194,-0.010203845,-0.015164968
0.006419501,-0.00165337,0.006419501,-0.015418989,-0.011468282,-0.021612194,-0.026552654,-0.011134956
0.006774777,-0.037488545,0.006774777,0.021638744,-0.00269059,-0.021612194,-0.031075925,-0.016814274
0.012402608,-0.004638542,0.012402608,-0.007374968,-0.004016345,-0.021612194,0.007148455,-0.022493532
0.021528283,0.018027032,0.021528283,-0.007374968,-0.008742808,-0.021612194,0.008283614,-0.028172831
0.003278535,-0.01849169,0.003278535,-0.007374968,-0.015577879,-0.016921705,-0.042505759,-0.031026599
-0.005330077,0.038429059,-0.005330077,-0.007374968,0.010615956,-0.016921705,-0.024109831,-0.028153532
-0.006057274,0.02148544,-0.006057274,-0.007374968,-0.002796783,-0.016921705,-0.008746359,-0.016802736
0.015068037,0.003969507,0.015068037,-0.007374968,-0.033357306,-0.016921705,-0.001790448,0.011727446
0.024138097,-0.017676872,0.024138097,-0.007374968,-0.002060506,-0.016921705,-0.003152602,0.018134426
-0.000211941,-0.032140221,-0.000211941,-0.007374968,-0.00618693,-0.016921705,-0.010937909,-0.020284422
-0.01691089,0.005228037,-0.01691089,-0.007374968,-0.008648866,-0.016921705,0.011278299,-0.038918948
